id,degree,is_paying,bachelor_course,master_couse,specialty,SDistrict,plan_to_move_to_distant,payments_for_distant,self_efficiency
556372,В специалитете,На бюджетном месте,2 курс,NA,"Инженерное дело, технологии, технические науки",ЮФО,NA,NA,Полностью согласен(-на)
556375,В специалитете,На бюджетном месте,4 курс,NA,Здравоохранение и медицинские науки,ПФО,NA,NA,Полностью согласен(-на)
556381,В бакалавриате,На бюджетном месте,1 курс,NA,"Социальные науки (социология, психология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
556390,В бакалавриате,На бюджетном месте,2 курс,NA,"Инженерное дело, технологии, технические науки",УФО,NA,NA,Скорее не согласен(-на)
556395,В бакалавриате,На бюджетном месте,1 курс,NA,"Инженерное дело, технологии, технические науки",ПФО,NA,NA,Полностью согласен(-на)
556396,В бакалавриате,На бюджетном месте,2 курс,NA,Сельское хозяйство и сельскохозяйственные науки,ПФО,NA,NA,Полностью согласен(-на)
556397,В бакалавриате,На бюджетном месте,4 курс,NA,"Инженерное дело, технологии, технические науки",ЦФО,NA,NA,NA
556403,В бакалавриате,На месте с оплатой обучения,1 курс,NA,"Социальные науки (социология, психология и т.д.)",ДВФО,NA,NA,Полностью согласен(-на)
556409,В бакалавриате,На месте с оплатой обучения,2 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ПФО,NA,NA,Скорее не согласен(-на)
556413,В бакалавриате,На месте с оплатой обучения,1 курс,NA,"Социальные науки (социология, психология и т.д.)",ДВФО,NA,NA,Полностью согласен(-на)
556421,В магистратуре,На месте с оплатой обучения,NA,1 курс,Экономика и менеджмент,ЦФО,NA,NA,Скорее согласен(-на)
556423,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Скорее не согласен(-на)
556424,В бакалавриате,На бюджетном месте,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Скорее не согласен(-на)
556430,В специалитете,На бюджетном месте,1 курс,NA,"Инженерное дело, технологии, технические науки",ДВФО,NA,NA,NA
556439,В бакалавриате,На бюджетном месте,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ПФО,NA,NA,Скорее не согласен(-на)
556441,В специалитете,На бюджетном месте,1 курс,NA,Сельское хозяйство и сельскохозяйственные науки,ПФО,NA,NA,Скорее не согласен(-на)
556449,В специалитете,На бюджетном месте,4 курс,NA,Здравоохранение и медицинские науки,ДВФО,NA,NA,NA
556454,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Скорее согласен(-на)
556459,В бакалавриате,На месте с оплатой обучения,1 курс,NA,Здравоохранение и медицинские науки,СФО,NA,NA,Абсолютно не согласен(-на)
556463,В бакалавриате,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,СФО,NA,NA,Скорее не согласен(-на)
556470,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Компьютерные науки,СЗФО,NA,NA,Абсолютно не согласен(-на)
556476,В специалитете,На бюджетном месте,1 курс,NA,Математика,ЦФО,NA,NA,Скорее согласен(-на)
556479,В бакалавриате,На бюджетном месте,1 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Затрудняюсь ответить
556480,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",СФО,NA,NA,NA
556483,В специалитете,На бюджетном месте,3 курс,NA,Здравоохранение и медицинские науки,СФО,NA,NA,Скорее не согласен(-на)
556491,В магистратуре,На бюджетном месте,NA,2 курс,Компьютерные науки,СЗФО,NA,NA,Скорее согласен(-на)
556492,В бакалавриате,На месте с оплатой обучения,2 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Затрудняюсь ответить
556493,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,ПФО,NA,NA,Полностью согласен(-на)
556505,В бакалавриате,На бюджетном месте,4 курс,NA,"Инженерное дело, технологии, технические науки",ЦФО,NA,NA,Затрудняюсь ответить
