id,degree,is_paying,bachelor_course,master_couse,specialty,SDistrict,plan_to_move_to_distant,payments_for_distant,self_efficiency
525030,В бакалавриате,На бюджетном месте,5 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",СФО,NA,NA,Скорее не согласен(-на)
525032,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,СФО,NA,NA,Абсолютно не согласен(-на)
525040,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,СФО,NA,NA,Абсолютно не согласен(-на)
525042,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,СФО,NA,NA,Скорее не согласен(-на)
525043,В бакалавриате,На бюджетном месте,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Затрудняюсь ответить
525046,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525052,В магистратуре,На бюджетном месте,NA,1 курс,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525055,В бакалавриате,На бюджетном месте,2 курс,NA,Затрудняюсь ответить,УФО,NA,NA,Абсолютно не согласен(-на)
525056,В бакалавриате,На бюджетном месте,4 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525058,В специалитете,На бюджетном месте,2 курс,NA,Компьютерные науки,УФО,NA,NA,Скорее не согласен(-на)
525059,В бакалавриате,На бюджетном месте,4 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525060,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525061,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525062,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525063,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,УФО,NA,NA,Затрудняюсь ответить
525064,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Полностью согласен(-на)
525067,В бакалавриате,На бюджетном месте,1 курс,NA,"Социальные науки (социология, психология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525069,В бакалавриате,На бюджетном месте,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525071,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525075,В бакалавриате,На месте с оплатой обучения,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525078,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Абсолютно не согласен(-на)
525079,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Полностью согласен(-на)
525085,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее согласен(-на)
525086,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Затрудняюсь ответить
525088,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Полностью согласен(-на)
525089,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Абсолютно не согласен(-на)
525090,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Полностью согласен(-на)
525091,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее согласен(-на)
525093,В бакалавриате,На бюджетном месте,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525095,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525097,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Абсолютно не согласен(-на)
525099,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее не согласен(-на)
525102,В бакалавриате,На месте с оплатой обучения,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525103,В бакалавриате,На бюджетном месте,1 курс,NA,Затрудняюсь ответить,УФО,NA,NA,Полностью согласен(-на)
525104,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Абсолютно не согласен(-на)
525106,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Абсолютно не согласен(-на)
525110,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Полностью согласен(-на)
525111,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525115,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Полностью согласен(-на)
525121,В бакалавриате,На бюджетном месте,3 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525122,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Абсолютно не согласен(-на)
525123,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525127,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее не согласен(-на)
525129,В бакалавриате,На бюджетном месте,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525130,В бакалавриате,На бюджетном месте,1 курс,NA,Математика,СЗФО,NA,NA,Полностью согласен(-на)
525131,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525133,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее согласен(-на)
525134,В специалитете,На бюджетном месте,2 курс,NA,Компьютерные науки,УФО,NA,NA,Скорее не согласен(-на)
525137,В бакалавриате,На бюджетном месте,2 курс,NA,"Социальные науки (социология, психология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525145,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525148,В бакалавриате,На бюджетном месте,4 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525149,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,1500,Скорее согласен(-на)
525151,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525161,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525163,В бакалавриате,На бюджетном месте,2 курс,NA,"Инженерное дело, технологии, технические науки",УФО,NA,NA,Затрудняюсь ответить
525164,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее не согласен(-на)
525165,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее не согласен(-на)
525168,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Полностью согласен(-на)
525170,В специалитете,На бюджетном месте,2 курс,NA,Компьютерные науки,УФО,NA,NA,Полностью согласен(-на)
525172,В бакалавриате,На бюджетном месте,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525173,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,СФО,NA,NA,Полностью согласен(-на)
525174,В бакалавриате,На бюджетном месте,2 курс,NA,"Социальные науки (социология, психология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525176,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее согласен(-на)
525179,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525182,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Полностью согласен(-на)
525186,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,NA
525190,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525191,В бакалавриате,На месте с оплатой обучения,2 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525193,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,СЗФО,NA,NA,Скорее согласен(-на)
525195,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее согласен(-на)
525196,В специалитете,На бюджетном месте,2 курс,NA,Математика,УФО,NA,NA,Скорее не согласен(-на)
525197,В бакалавриате,На бюджетном месте,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525204,В магистратуре,На бюджетном месте,NA,2 курс,"Инженерное дело, технологии, технические науки",ЮФО,NA,NA,Скорее согласен(-на)
525207,В магистратуре,На бюджетном месте,NA,2 курс,"Социальные науки (социология, психология и т.д.)",ЦФО,NA,NA,Скорее не согласен(-на)
525208,В бакалавриате,На бюджетном месте,1 курс,NA,"Социальные науки (социология, психология и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525211,В специалитете,На бюджетном месте,4 курс,NA,Компьютерные науки,УФО,NA,NA,Скорее согласен(-на)
525212,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Социальные науки (социология, психология и т.д.)",ЮФО,NA,NA,Скорее согласен(-на)
525214,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Социальные науки (социология, психология и т.д.)",ЮФО,NA,NA,Абсолютно не согласен(-на)
525215,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525216,В бакалавриате,На бюджетном месте,1 курс,NA,"Инженерное дело, технологии, технические науки",УФО,NA,NA,Скорее согласен(-на)
525221,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525226,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525227,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525229,В специалитете,На бюджетном месте,2 курс,NA,Компьютерные науки,УФО,NA,NA,Скорее согласен(-на)
525230,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525231,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,СФО,Нет,NA,NA
525234,В бакалавриате,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее не согласен(-на)
525235,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",СФО,Нет,NA,NA
525237,В бакалавриате,На бюджетном месте,3 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525238,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525244,В бакалавриате,На бюджетном месте,4 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525249,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,NA
525251,В бакалавриате,На месте с оплатой обучения,2 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",СЗФО,NA,NA,Абсолютно не согласен(-на)
525252,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525253,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525255,В бакалавриате,На месте с оплатой обучения,4 курс,NA,Образование и педагогические науки,ЦФО,NA,NA,Затрудняюсь ответить
525257,В бакалавриате,На месте с оплатой обучения,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Скорее не согласен(-на)
525258,В бакалавриате,На бюджетном месте,3 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525260,В бакалавриате,На бюджетном месте,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525261,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525262,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Образование и педагогические науки,СФО,NA,NA,Скорее не согласен(-на)
525269,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525270,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Социальные науки (социология, психология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525271,В специалитете,На бюджетном месте,3 курс,NA,Образование и педагогические науки,УФО,NA,NA,Полностью согласен(-на)
525272,В специалитете,На месте с оплатой обучения,2 курс,NA,Компьютерные науки,УФО,NA,NA,Полностью согласен(-на)
525273,В бакалавриате,На месте с оплатой обучения,1 курс,NA,Затрудняюсь ответить,ЮФО,NA,NA,Скорее не согласен(-на)
525277,В бакалавриате,На бюджетном месте,3 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525279,В специалитете,На бюджетном месте,4 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525280,В бакалавриате,На месте с оплатой обучения,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Скорее не согласен(-на)
525283,В бакалавриате,На бюджетном месте,2 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525284,В бакалавриате,На бюджетном месте,3 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525285,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525287,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525289,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525291,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525292,В бакалавриате,На месте с оплатой обучения,2 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525296,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,ЮФО,NA,NA,Скорее согласен(-на)
525297,В бакалавриате,На бюджетном месте,5 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525299,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,УФО,NA,NA,Затрудняюсь ответить
525300,В бакалавриате,На бюджетном месте,5 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525301,В бакалавриате,На бюджетном месте,2 курс,NA,"Инженерное дело, технологии, технические науки",УФО,NA,NA,Затрудняюсь ответить
525303,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525305,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525306,В специалитете,На месте с оплатой обучения,2 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Скорее согласен(-на)
525308,В бакалавриате,На месте с оплатой обучения,5 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525311,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525315,В бакалавриате,На месте с оплатой обучения,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Скорее не согласен(-на)
525316,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525318,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525320,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525323,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,УФО,NA,NA,Полностью согласен(-на)
525324,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525328,В магистратуре,На бюджетном месте,NA,2 курс,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525330,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525331,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Полностью согласен(-на)
525332,В специалитете,На месте с оплатой обучения,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525333,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525335,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Затрудняюсь ответить
525336,В бакалавриате,На месте с оплатой обучения,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525338,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525340,В бакалавриате,На бюджетном месте,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,0,Скорее не согласен(-на)
525341,В бакалавриате,На бюджетном месте,4 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525342,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",ЮФО,NA,NA,Скорее не согласен(-на)
525344,В бакалавриате,На бюджетном месте,4 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525345,В бакалавриате,На месте с оплатой обучения,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525346,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525347,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525348,В бакалавриате,На бюджетном месте,1 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525349,В бакалавриате,На бюджетном месте,3 курс,NA,Образование и педагогические науки,СФО,NA,NA,Скорее согласен(-на)
525350,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525352,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Полностью согласен(-на)
525353,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525354,В бакалавриате,На бюджетном месте,4 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525356,В бакалавриате,На бюджетном месте,2 курс,NA,Компьютерные науки,ДВФО,NA,NA,Скорее согласен(-на)
525357,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Полностью согласен(-на)
525358,В бакалавриате,На бюджетном месте,3 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525361,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525363,В бакалавриате,На бюджетном месте,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525364,В бакалавриате,На месте с оплатой обучения,4 курс,NA,Образование и педагогические науки,УФО,NA,NA,Затрудняюсь ответить
525368,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525370,В специалитете,На бюджетном месте,2 курс,NA,Здравоохранение и медицинские науки,ЮФО,NA,NA,Затрудняюсь ответить
525371,В бакалавриате,На бюджетном месте,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525372,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525373,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Скорее не согласен(-на)
525376,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,NA
525377,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Абсолютно не согласен(-на)
525378,В специалитете,На бюджетном месте,1 курс,NA,"Оборона и безопасность государства, военные науки",ЮФО,NA,NA,Полностью согласен(-на)
525379,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525382,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Скорее согласен(-на)
525383,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525386,В бакалавриате,На бюджетном месте,3 курс,NA,Искусство и культура,ЦФО,NA,NA,Затрудняюсь ответить
525387,В бакалавриате,На бюджетном месте,4 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525389,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Полностью согласен(-на)
525390,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Абсолютно не согласен(-на)
525391,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525393,В специалитете,На месте с оплатой обучения,2 курс,NA,"Социальные науки (социология, психология и т.д.)",ЮФО,NA,NA,Затрудняюсь ответить
525399,В бакалавриате,На бюджетном месте,1 курс,NA,Математика,ЮФО,NA,NA,Скорее согласен(-на)
525401,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее согласен(-на)
525403,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525404,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525405,В магистратуре,На бюджетном месте,NA,1 курс,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Абсолютно не согласен(-на)
525406,В бакалавриате,На бюджетном месте,3 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",ЮФО,NA,NA,Скорее согласен(-на)
525408,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Абсолютно не согласен(-на)
525409,В бакалавриате,На бюджетном месте,3 курс,NA,Образование и педагогические науки,СФО,NA,NA,Затрудняюсь ответить
525410,В бакалавриате,На бюджетном месте,4 курс,NA,Образование и педагогические науки,ЮФО,NA,NA,Абсолютно не согласен(-на)
525412,В бакалавриате,На бюджетном месте,5 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525413,В бакалавриате,На месте с оплатой обучения,2 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525414,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",ЮФО,NA,NA,Скорее не согласен(-на)
525415,В бакалавриате,На бюджетном месте,1 курс,NA,Компьютерные науки,ЮФО,NA,NA,Скорее не согласен(-на)
525416,В бакалавриате,На бюджетном месте,3 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525417,В бакалавриате,На бюджетном месте,3 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525418,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525419,В бакалавриате,На бюджетном месте,2 курс,NA,"Инженерное дело, технологии, технические науки",ПФО,NA,NA,Скорее не согласен(-на)
525420,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525421,В бакалавриате,На месте с оплатой обучения,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Скорее согласен(-на)
525423,В магистратуре,На бюджетном месте,NA,2 курс,"Социальные науки (социология, психология и т.д.)",ПФО,NA,NA,Скорее не согласен(-на)
525429,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Полностью согласен(-на)
525431,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Затрудняюсь ответить
525433,В бакалавриате,На бюджетном месте,4 курс,NA,"Социальные науки (социология, психология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525436,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,СФО,Мне не известно об этом,NA,NA
525438,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525442,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525445,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,СФО,NA,NA,Скорее согласен(-на)
525447,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525448,В магистратуре,На бюджетном месте,NA,2 курс,"Социальные науки (социология, психология и т.д.)",УФО,NA,NA,NA
